State,Cases,Deaths
Alabama,111466,2288
Alaska,96399,504
Arizona,121477,2432
Arkansas,113491,1938
California,96096,1609
Colorado,95019,1150
Connecticut,97633,2315
Delaware,112108,1722
District of Columbia,69598,1611
Florida,108618,1721
Georgia,106089,1977
Hawaii,25884,357
Idaho,108015,1178
Illinois,109359,2003
Indiana,111025,2034
Iowa,117948,1926
Kansas,108560,1751
Kentucky,103078,1590
Louisiana,101936,2285
Maine,50835,625
Maryland,76209,1597
Massachusetts,102749,2599
Michigan,99707,2069
Minnesota,106923,1341
Mississippi,107044,2467
Missouri,99395,1563
Montana,105277,1529
Nebraska,115635,1165
Nevada,105958,1821
New Hampshire,72766,998
New Jersey,114646,2959
New Mexico,97140,2044
New York,108288,2749
North Carolina,95944,1260
North Dakota,144679,2030
Ohio,94561,1709
Oklahoma,114706,1849
Oregon,48219,639
Pennsylvania,94604,2140
Rhode Island,143583,2567
South Carolina,115436,1894
South Dakota,140508,2287
Tennessee,126545,1827
Texas,102239,1784
Utah,127206,721
Vermont,38935,410
Virginia,79317,1318
Washington,57898,769
West Virginia,90749,1575
Wisconsin,116008,1368
Wyoming,105016,1244
