Date,Cases,Deaths
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,1,1
2020-03-01,1,0
2020-03-02,6,5
2020-03-03,7,1
2020-03-04,11,4
2020-03-05,12,1
2020-03-06,14,2
2020-03-07,17,3
2020-03-08,21,4
2020-03-09,22,1
2020-03-10,28,6
2020-03-11,33,5
2020-03-12,43,10
2020-03-13,51,8
2020-03-14,58,7
2020-03-15,70,12
2020-03-16,97,27
2020-03-17,134,37
2020-03-18,194,60
2020-03-19,266,72
2020-03-20,372,106
2020-03-21,475,103
2020-03-22,598,123
2020-03-23,790,192
2020-03-24,1033,243
2020-03-25,1366,333
2020-03-26,1785,419
2020-03-27,2307,522
2020-03-28,2949,642
2020-03-29,3573,624
2020-03-30,4286,713
2020-03-31,5371,1085
2020-04-01,6654,1283
2020-04-02,8167,1513
2020-04-03,9599,1432
2020-04-04,11166,1567
2020-04-05,12781,1615
2020-04-06,14553,1772
2020-04-07,17127,2574
2020-04-08,19288,2161
2020-04-09,21497,2209
2020-04-10,23694,2197
2020-04-11,25819,2125
2020-04-12,27694,1875
2020-04-13,29709,2015
2020-04-14,32149,2440
2020-04-15,34761,2612
2020-04-16,36916,2155
2020-04-17,39029,2113
2020-04-18,41002,1973
2020-04-19,42978,1976
2020-04-20,45213,2235
2020-04-21,47715,2502
2020-04-22,50180,2465
2020-04-23,52641,2461
2020-04-24,54827,2186
2020-04-25,56545,1718
2020-04-26,57949,1404
2020-04-27,59468,1519
2020-04-28,61694,2226
2020-04-29,64100,2406
2020-04-30,66291,2191
2020-05-01,68205,1914
2020-05-02,69935,1730
2020-05-03,71132,1197
2020-05-04,72521,1389
2020-05-05,74737,2216
2020-05-06,77046,2309
2020-05-07,78971,1925
2020-05-08,80730,1759
2020-05-09,82193,1463
2020-05-10,83180,987
2020-05-11,84224,1044
2020-05-12,85822,1598
2020-05-13,87545,1723
2020-05-14,89328,1783
2020-05-15,90995,1667
2020-05-16,92196,1201
2020-05-17,93021,825
2020-05-18,94243,1222
2020-05-19,95702,1459
